,Unnamed: 0,label,area,bbox_area,centroid-0,centroid-1,convex_area,eccentricity,equivalent_diameter,extent,local_centroid-0,local_centroid-1,major_axis_length,minor_axis_length,perimeter,solidity,inertia_tensor_eigvals-0,inertia_tensor_eigvals-1,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,in_object
0,0,1,46168,72163,66,848,49598,0.9414136568416382,242.4518989435492,0.6397738453223951,66,243,439.87079671333254,148.34822884356706,1059.0447686219222,0.9308439856445824,12092.89486257637,1375.4498125639584,0.29172467239517264,0.053889035211566974,0.004116225452581201,0.0018167495074224702,4.95757426742222e-06,0.0004208353753588608,-3.235465836766426e-07,0.0
1,1,2,12473,17028,35,1942,12571,0.8786360300861433,126.02030329070664,0.7324994127319708,35,96,188.87562058243495,90.18662087831494,494.8772003600252,0.9922042796913532,2229.6250031499962,508.35166159055694,0.2195122797034036,0.01904398543016434,0.0017278765618942051,0.00011915279505978372,-5.4044654971199706e-08,-1.644306815967695e-05,-1.4671042989626094e-09,0.0
2,18,19,25601,31140,1967,1118,25791,0.2482241976663748,180.54419288574448,0.8221258831085421,96,91,187.15500231462383,181.29753932029527,628.6761902332486,0.992633089062076,2189.1871807116777,2054.2998602246253,0.1657547377421313,2.7760571074183983e-05,0.0005141403434941219,4.4380634042947325e-06,-6.539832375134539e-11,1.4569761460970807e-08,-2.016583073349228e-10,0.0
0,1,2,41416,52245,92,951,42390,0.6061244846324433,229.635556882534,0.7927265767059049,92,116,261.16168287212435,207.7201138937993,846.2985565973347,0.9770228827553668,4262.839037537504,2696.727857253309,0.16804053734766305,0.0014299105681773938,0.00034240153965629534,6.450007325749238e-06,1.8358047779722544e-10,2.1736292124545283e-07,-2.4119955136384967e-10,1.0
1,3,4,49173,67123,249,1241,51192,0.7406569256928932,250.21792128714955,0.7325804865694322,116,152,307.13581748407717,206.35946079345038,897.3351365237941,0.960560243788092,5895.775648850771,2661.5141911852234,0.17402415634669424,0.004326102854152129,0.00010727477869952048,2.961434415217571e-06,-5.278383160154376e-11,-1.9455648185367145e-07,1.1769415510403764e-13,1.0
2,4,5,60608,79632,293,802,62519,0.6158736306617185,277.79219270402245,0.7611010648985332,127,157,313.55013168854697,247.02888897980696,982.1757569573599,0.9694332922791472,6144.6053176190735,3813.954499412362,0.16431097902968975,0.001478749182150078,9.713242851221492e-06,1.5113204483105767e-07,-1.830515367471694e-13,-5.806926073796034e-09,-4.707800341315272e-15,1.0
3,5,6,44901,58344,515,214,45828,0.5888325960080664,239.10192136022982,0.7695907034142329,131,109,266.3417153920268,215.2720279281676,813.2518754031088,0.9797721916732128,4433.619334872962,2896.3778755191106,0.16324797243696293,0.0011721202011846011,2.1464631261980442e-05,3.2465579958931624e-07,-3.876136633329238e-13,-5.72229974148597e-09,-7.64367422344492e-13,1.0
4,9,10,42530,56250,910,1322,42972,0.6748104525649081,232.7034117446207,0.7560888888888889,125,113,271.0880528896946,200.06056840755997,786.9087296526013,0.9897142325235035,4593.045776220366,2501.5144394722483,0.1668130781963935,0.0024184548628869928,9.223111913463424e-06,2.372286565470445e-07,3.43586182108351e-13,1.1147848759348784e-08,-7.129377014513623e-14,1.0
5,10,11,38680,52514,931,928,39580,0.6877351215013839,221.92094446076084,0.7365654872986251,106,121,261.59281736336135,189.90636870465264,766.5239533417509,0.9772612430520464,4276.9251310063055,2254.026804661717,0.16884570671323745,0.00273511240556229,8.081217159464329e-05,2.086092791260324e-06,-1.7520010040406371e-12,-2.0204636484146163e-08,2.702890011880325e-11,1.0
6,14,15,58675,76043,1544,172,60715,0.8041618864411557,273.32641710477907,0.7716029088805019,121,172,357.00520397372503,212.2075871071821,978.1808075912433,0.9664003952894672,7965.794729020065,2814.503751615767,0.18372898987023148,0.007707720682000747,0.00011304385726357363,7.5588104918670225e-06,2.0330183301823983e-10,5.284458114719318e-07,-8.654155000906508e-11,1.0
